\c:1544920663*55\$GPGLL,3247.2160,N,07954.5638,W,163846.000,A,D*40	\c:1544920952*58\$IIVWT,114,R,09.69,N,04.99,M,,*32
\c:1544920664*52\$GPGLL,3247.2160,N,07954.5638,W,163847.000,A,D*41	\c:1544920954*5E\$IIVWT,110,R,10.08,N,05.19,M,,*30
\c:1544920665*53\$GPGLL,3247.2160,N,07954.5638,W,163848.000,A,D*4E	\c:1544920956*5C\$IIVWT,114,R,09.77,N,05.03,M,,*3F
\c:1544920666*50\$GPGLL,3247.2160,N,07954.5638,W,163849.000,A,D*4F	\c:1544920958*52\$IIVWT,112,R,09.69,N,04.99,M,,*34
\c:1544920667*51\$GPGLL,3247.2160,N,07954.5638,W,163850.000,A,D*47	\c:1544920960*59\$IIVWT,111,R,10.34,N,05.32,M,,*37
\c:1544920668*5E\$GPGLL,3247.2161,N,07954.5638,W,163851.000,A,D*47	\c:1544920962*5B\$IIVWT,110,R,10.20,N,05.25,M,,*35
\c:1544920669*5F\$GPGLL,3247.2161,N,07954.5638,W,163852.000,A,D*44	\c:1544920964*5D\$IIVWT,112,R,09.60,N,04.94,M,,*30
\c:1544920670*57\$GPGLL,3247.2161,N,07954.5638,W,163853.000,A,D*45	\c:1544920966*5F\$IIVWT,107,R,09.56,N,04.92,M,,*37
\c:1544920671*56\$GPGLL,3247.2161,N,07954.5638,W,163854.000,A,D*42	\c:1544920968*51\$IIVWT,106,R,09.17,N,04.72,M,,*3D
\c:1544920672*55\$GPGLL,3247.2161,N,07954.5638,W,163855.000,A,D*43	\c:1544920970*58\$IIVWT,102,R,08.65,N,04.45,M,,*39
\c:1544920673*54\$GPGLL,3247.2161,N,07954.5638,W,163856.000,A,D*40	\c:1544920972*5A\$IIVWT,108,R,09.11,N,04.69,M,,*3F
\c:1544920674*53\$GPGLL,3247.2161,N,07954.5638,W,163857.000,A,D*41	\c:1544920974*5C\$IIVWT,112,R,09.21,N,04.74,M,,*3B
\c:1544920675*52\$GPGLL,3247.2161,N,07954.5638,W,163858.000,A,D*4E	\c:1544920976*5E\$IIVWT,111,R,09.03,N,04.65,M,,*38
\c:1544920676*51\$GPGLL,3247.2162,N,07954.5638,W,163859.000,A,D*4C	\c:1544920978*50\$IIVWT,111,R,09.15,N,04.71,M,,*3A
\c:1544920677*50\$GPGLL,3247.2162,N,07954.5639,W,163900.000,A,D*40	\c:1544920980*57\$IIVWT,108,R,09.23,N,04.75,M,,*33
\c:1544920678*5F\$GPGLL,3247.2166,N,07954.5638,W,163901.000,A,D*44	\c:1544920982*55\$IIVWT,107,R,09.36,N,04.82,M,,*30
\c:1544920679*5E\$GPGLL,3247.2167,N,07954.5638,W,163902.000,A,D*46	\c:1544920984*53\$IIVWT,107,R,09.36,N,04.82,M,,*30
\c:1544920680*58\$GPGLL,3247.2167,N,07954.5638,W,163903.000,A,D*47	\c:1544920987*50\$IIVWT,113,R,10.67,N,05.49,M,,*3F
\c:1544920681*59\$GPGLL,3247.2167,N,07954.5638,W,163904.000,A,D*40	\c:1544920989*5E\$IIVWT,112,R,11.09,N,05.71,M,,*3C
\c:1544920682*5A\$GPGLL,3247.2167,N,07954.5638,W,163905.000,A,D*41	\c:1544920991*57\$IIVWT,119,R,11.19,N,05.76,M,,*31
\c:1544920683*5B\$GPGLL,3247.2167,N,07954.5638,W,163906.000,A,D*42	\c:1544920993*55\$IIVWT,112,R,10.92,N,05.62,M,,*3D
\c:1544920684*5C\$GPGLL,3247.2167,N,07954.5638,W,163907.000,A,D*43	\c:1544920995*53\$IIVWT,117,R,11.11,N,05.72,M,,*33
\c:1544920685*5D\$GPGLL,3247.2167,N,07954.5638,W,163908.000,A,D*4C	\c:1544920997*51\$IIVWT,112,R,10.67,N,05.49,M,,*3E
\c:1544920686*5E\$GPGLL,3247.2167,N,07954.5638,W,163909.000,A,D*4D	\c:1544920999*5F\$IIVWT,109,R,10.53,N,05.42,M,,*38
\c:1544920687*5F\$GPGLL,3247.2167,N,07954.5638,W,163910.000,A,D*45	\c:1544921001*56\$IIVWT,114,R,10.86,N,05.59,M,,*36
\c:1544920688*50\$GPGLL,3247.2167,N,07954.5638,W,163911.000,A,D*44	\c:1544921003*54\$IIVWT,115,R,10.38,N,05.34,M,,*39
\c:1544920689*51\$GPGLL,3247.2167,N,07954.5638,W,163912.000,A,D*47	\c:1544921005*52\$IIVWT,111,R,10.22,N,05.26,M,,*35
\c:1544920690*59\$GPGLL,3247.2167,N,07954.5638,W,163913.000,A,D*46	\c:1544921007*50\$IIVWT,118,R,10.45,N,05.38,M,,*32
\c:1544920691*58\$GPGLL,3247.2167,N,07954.5638,W,163914.000,A,D*41	\c:1544921009*5E\$IIVWT,117,R,10.86,N,05.59,M,,*35
\c:1544920692*5B\$GPGLL,3247.2167,N,07954.5638,W,163915.000,A,D*40	\c:1544921011*57\$IIVWT,119,R,10.59,N,05.45,M,,*34
\c:1544920693*5A\$GPGLL,3247.2167,N,07954.5638,W,163916.000,A,D*43	\c:1544921013*55\$IIVWT,124,R,10.82,N,05.57,M,,*3F
\c:1544920694*5D\$GPGLL,3247.2167,N,07954.5638,W,163917.000,A,D*42	\c:1544921015*53\$IIVWT,116,R,11.11,N,05.72,M,,*32
\c:1544920695*5C\$GPGLL,3247.2167,N,07954.5638,W,163918.000,A,D*4D	\c:1544921017*51\$IIVWT,123,R,10.34,N,05.32,M,,*36
\c:1544920696*5F\$GPGLL,3247.2167,N,07954.5638,W,163919.000,A,D*4C	\c:1544921019*5F\$IIVWT,126,R,08.66,N,04.46,M,,*3F
\c:1544920697*5E\$GPGLL,3247.2167,N,07954.5638,W,163920.000,A,D*46	\c:1544921021*54\$IIVWT,112,R,09.21,N,04.74,M,,*3B
\c:1544920698*51\$GPGLL,3247.2167,N,07954.5638,W,163921.000,A,D*47	\c:1544921023*56\$IIVWT,111,R,10.67,N,05.49,M,,*3D
\c:1544920699*50\$GPGLL,3247.2167,N,07954.5638,W,163922.000,A,D*44	\c:1544921025*50\$IIVWT,109,R,11.23,N,05.78,M,,*37
\c:1544920700*51\$GPGLL,3247.2167,N,07954.5638,W,163923.000,A,D*45	\c:1544921027*52\$IIVWT,108,R,10.90,N,05.61,M,,*37
\c:1544920701*50\$GPGLL,3247.2167,N,07954.5638,W,163924.000,A,D*42	\c:1544921030*54\$IIVWT,114,R,11.29,N,05.81,M,,*37
\c:1544920702*53\$GPGLL,3247.2167,N,07954.5638,W,163925.000,A,D*43	\c:1544921032*56\$IIVWT,120,R,10.39,N,05.35,M,,*3F
\c:1544920703*52\$GPGLL,3247.2167,N,07954.5638,W,163926.000,A,D*40	\c:1544921034*50\$IIVWT,118,R,11.39,N,05.86,M,,*3D
