\c:1552136721*5A\$GPGLL,3247.222,N,07954.564,W,130549,A,A*57	\c:1552136923*56\$IIVWT,061,L,02.21,N,01.14,M,,*28
\c:1552136722*59\$GPGLL,3247.2156,N,07954.5643,W,130551.000,A,A*41	\c:1552136925*50\$IIVWT,064,L,01.51,N,00.78,M,,*22
\c:1552136723*58\$GPGLL,3247.2156,N,07954.5643,W,130552.000,A,A*42	\c:1552136927*52\$IIVWT,063,L,01.43,N,00.74,M,,*2A
\c:1552136723*58\$GPGLL,3247.222,N,07954.564,W,130551,A,A*5E	\c:1552136929*5C\$IIVWT,011,L,01.78,N,00.92,M,,*2F
\c:1552136724*5F\$GPGLL,3247.2156,N,07954.5643,W,130553.000,A,A*43	\c:1552136932*56\$IIVWT,038,L,02.15,N,01.11,M,,*26
\c:1552136725*5E\$GPGLL,3247.2156,N,07954.5644,W,130554.000,A,A*43	\c:1552136934*50\$IIVWT,044,L,02.31,N,01.19,M,,*23
\c:1552136725*5E\$GPGLL,3247.222,N,07954.563,W,130553,A,A*5B	\c:1552136936*52\$IIVWT,053,L,02.37,N,01.22,M,,*2B
\c:1552136726*5D\$GPGLL,3247.2156,N,07954.5644,W,130555.000,A,A*42	\c:1552136938*5C\$IIVWT,041,L,02.21,N,01.14,M,,*2A
\c:1552136727*5C\$GPGLL,3247.2156,N,07954.5644,W,130556.000,A,A*41	\c:1552136940*53\$IIVWT,009,L,02.39,N,01.23,M,,*2B
\c:1552136728*53\$GPGLL,3247.222,N,07954.563,W,130556,A,A*5E	\c:1552136942*51\$IIVWT,012,L,02.48,N,01.28,M,,*2C
\c:1552136728*53\$GPGLL,3247.2156,N,07954.5644,W,130557.000,A,A*40	\c:1552136944*57\$IIVWT,020,R,02.44,N,01.26,M,,*31
\c:1552136729*52\$GPGLL,3247.2156,N,07954.5644,W,130558.000,A,A*4F	\c:1552136946*55\$IIVWT,029,L,02.48,N,01.28,M,,*24
\c:1552136730*5A\$GPGLL,3247.222,N,07954.563,W,130558,A,A*50	\c:1552136948*5B\$IIVWT,004,L,02.39,N,01.23,M,,*26
\c:1552136730*5A\$GPGLL,3247.2156,N,07954.5644,W,130559.000,A,A*4E	\c:1552136950*52\$IIVWT,042,L,02.31,N,01.19,M,,*25
\c:1552136731*5B\$GPGLL,3247.2156,N,07954.5644,W,130600.000,A,A*41	\c:1552136952*50\$IIVWT,018,R,02.54,N,01.31,M,,*3D
